index,date,week,team,opp,crew,points,oYards,pYards,pCount,won,tDiff,penDiff,ptsDiff,ydsDiff,home,tie
688,12/17/2023,15,TB,GB,Tra Blake,34,452,52,4,1,0,0,14,131,0,0
689,12/17/2023,15,BAL,JAX,Shawn Smith,23,396,54,6,1,-1,0,16,63,0,0
690,12/17/2023,15,KC,NE,Shawn Hochuli,27,326,15,2,1,1,-3,10,120,0,0
691,12/17/2023,15,HOU,TEN,Clete Blakeman,19,340,67,8,1,0,3,3,136,0,0
692,12/18/2022,15,PIT,CAR,Scott Novak,24,325,81,7,1,0,2,8,116,0,0
693,12/18/2022,15,PHI,CHI,Brad Rogers,25,421,25,2,1,2,-4,5,173,0,0
694,12/18/2022,15,KC,HOU,Carl Cheffers,30,502,102,10,1,1,6,6,283,0,0
695,12/18/2022,15,DET,NYJ,Craig Wrolstad,20,359,52,6,1,-1,4,3,22,0,0
696,12/18/2022,15,CIN,TB,Adrian Hill,34,237,27,4,1,-3,-3,11,-159,0,0
697,12/18/2022,15,NYG,WAS,John Hussey,20,288,30,5,1,-2,-1,8,-99,0,0
698,12/22/2022,16,JAX,NYJ,Brad Allen,19,365,25,3,1,-1,-6,16,138,0,0
699,12/23/2023,16,BUF,LAC,Adrian Hill,24,335,64,7,1,3,1,2,62,0,0
700,12/24/2022,16,BUF,CHI,Carl Cheffers,35,426,72,9,1,1,7,22,217,0,0
701,12/24/2022,16,NO,CLE,Brad Rogers,17,244,15,2,1,0,-2,7,-5,0,0
702,12/24/2022,16,CIN,NE,Craig Wrolstad,22,442,62,8,1,2,-2,4,157,0,0
703,12/24/2022,16,HOU,TEN,Shawn Smith,19,285,35,4,1,-2,-1,5,13,0,0
704,12/24/2023,16,GB,CAR,Alex Kemp,33,369,67,6,1,0,-2,3,-25,0,0
705,12/24/2023,16,NE,DEN,Carl Cheffers,26,289,25,3,1,-1,1,3,13,0,0
706,12/24/2023,16,CLE,HOU,Tra Blake,36,418,55,9,1,0,-1,14,168,0,0
707,12/24/2023,16,DET,MIN,Land Clark,30,389,52,9,1,-3,1,6,-1,0,0
708,12/24/2023,16,SEA,TEN,Shawn Smith,20,273,47,6,1,0,-4,3,-14,0,0
709,12/25/2022,16,TB,ARI,John Hussey,19,396,30,5,1,-1,-1,3,71,0,0
710,12/25/2022,16,GB,MIA,Land Clark,26,301,40,5,1,-3,-3,6,-75,0,0
711,12/25/2023,16,LV,KC,Clete Blakeman,20,205,20,4,1,-2,-1,6,-103,0,0
712,12/25/2023,16,BAL,SF,Bill Vinovich,33,343,67,6,1,-5,-4,14,-86,0,0
713,12/26/2022,16,LAC,IND,Clay Martin,20,314,60,6,1,-1,4,17,141,0,0
